Reference,Formula,Form,Dimension,Phase,pH,Synthesis method,MagpieData mean NsValence,MagpieData range MeltingT,MagpieData mode NdValence,MagpieData avg_dev NsValence,MagpieData minimum Number,MagpieData mean MendeleevNumber,MagpieData maximum GSvolume_pa,MagpieData maximum MeltingT,MagpieData mean Number,MagpieData range Electronegativity,MagpieData maximum Number,MagpieData avg_dev Number,MagpieData range CovalentRadius,MagpieData mode Number,MagpieData mean NsUnfilled,MagpieData minimum Electronegativity,onset_potential,tafel_slope
10.1002/smtd.202400793,Ag33Au33Cu33,Nanoparticle,0D,FCC,14.0, melt-spinning,1.0,122.83999999999992,10.0,0.0,29.0,65.0,16.7,1357.77,51.66666666666666,0.6400000000000001,79.0,18.22222222222222,13.0,29.0,1.0,1.9,363.0,147.0
10.1002/smtd.202400793,Ag20Au20Cu20Pd20Pt20,Nanoparticle,0D,FCC,0.0, melt-spinning,0.8,806.47,9.0,0.3199999999999999,29.0,64.0,16.7,2041.4,55.8,0.6400000000000001,79.0,18.16,13.0,29.0,0.8,1.9,9.5,32.0
10.1002/smtd.202400793,Ag20Au20Cu20Ir20Ru20,Nanoparticle,0D,FCC,0.0, melt-spinning,1.2,1504.07,7.0,0.3199999999999999,29.0,62.2,16.7,2739.0,55.2,0.6400000000000001,79.0,18.24,14.0,29.0,0.8,1.9,11.0,33.0
10.1002/smtd.202400793,Ag14Au14Cu14Ir14Pd14Pt14Ru14,Nanoparticle,0D,FCC,0.0, melt-spinning,1.0,1504.07,7.0,0.2857142857142857,29.0,62.285714285714285,16.7,2739.0,57.142857142857146,0.6400000000000001,79.0,17.877551020408163,14.0,29.0,0.7142857142857143,1.9,18.0,31.0
10.1002/smtd.202400793,Ag33Au33Cu33,Nanoparticle,0D,FCC,0.0, melt-spinning,1.0,122.83999999999992,10.0,0.0,29.0,65.0,16.7,1357.77,51.66666666666666,0.6400000000000001,79.0,18.22222222222222,13.0,29.0,1.0,1.9,188.0,77.0
10.1002/sus2.56,Co29Cu8Fe14Ni35Pt14,Nanoparticle,0D,FCC,14.0, ultra-fast shock synthesis,1.7821428571428573,683.6300000000001,8.0,0.3407908163265306,26.0,59.775000000000006,15.02,2041.4,34.63928571428572,0.4499999999999997,78.0,12.388775510204088,12.0,28.0,0.2178571428571428,1.83,13.7,30.6
10.1016/j.apcatb.2022.121431,Co12Ni20Pt32Rh25Ru11,ultrathin nanowires,1D,FCC,14.0, low-temperature oil phase strategy,1.32,879.0,9.0,0.4352,27.0,60.23,15.02,2607.0,49.89,0.3999999999999999,78.0,17.9904,22.0,78.0,0.68,1.88,18.0,28.7
10.1016/j.apcatb.2022.121431,Co12Ni20Pt32Rh25Ru11,ultrathin nanowires,1D,FCC,0.0, low-temperature oil phase strategy,1.32,879.0,9.0,0.4352,27.0,60.23,15.02,2607.0,49.89,0.3999999999999999,78.0,17.9904,22.0,78.0,0.68,1.88,16.0,27.8
10.1016/j.apcatb.2023.122814,Co7Mo8Pd23Pt35Rh27,ultra-thin nanosheets,2D,FCC,14.0,one-step wet chemical strategy,0.84,1128.0,9.0,0.3864000000000001,27.0,60.3,15.69,2896.0,55.28,0.3999999999999999,78.0,15.904000000000002,28.0,78.0,0.7,1.88,16.5,26.8
10.1016/j.apcatb.2023.122814,Co6Mo8Pd34Pt27Rh25,Nanoparticle,0D,FCC,14.0,one-step wet chemical strategy,0.72,1128.0,10.0,0.4896,27.0,60.32,15.69,2896.0,52.93,0.3999999999999999,78.0,13.537800000000002,28.0,46.0,0.6,1.88,36.1,38.9
10.1016/j.cej.2022.134898,Co12Fe9Mn25Mo31Ni23,nanoporous ribbons,2D,FCC,14.0,melt spinning,1.69,1377.0,5.0,0.4278,25.0,54.44,15.69,2896.0,31.29,0.6100000000000001,42.0,6.6402,30.0,42.0,0.31,1.55,14.0,29.0
10.1016/j.cej.2022.134898,Co14Fe14Mn52Mo6Ni14,nanoporous ribbons,2D,FCC,14.0,melt spinning,1.94,1377.0,5.0,0.1128,25.0,54.4,15.69,2896.0,26.86,0.6100000000000001,42.0,2.1752,30.0,25.0,0.06,1.55,322.0,164.0
10.1016/j.cej.2022.137452,Co50Fe11Mn8Ni16W15,Nanoparticle,0D,FCC,0.0,current electrodeposition method,2.0,2176.0,7.0,0.0,25.0,56.6361963190184,16.05,3695.0,33.718404907975454,0.8099999999999998,74.0,11.71378900222063,38.0,27.0,0.0,1.55,15.0,31.0
10.1016/j.cej.2022.137452,Co24Fe34Mn23Ni18,Nanoparticle,0D,FCC,0.0,current electrodeposition method,2.0,292.0,6.0,0.0,25.0,56.128,10.73,1811.0,26.376,0.3599999999999999,28.0,0.8976479999999997,15.0,26.0,0.0,1.55,193.0,57.0
10.1016/j.electacta.2018.05.035,Co36Cr15Fe20Mo10Ni19,band,3D,FCC,14.0, arc-melting under an argon atmosphere,1.749,1168.0,7.0,0.3759979999999999,24.0,55.823,15.69,2896.0,27.988,0.5000000000000002,42.0,2.722983999999998,30.0,27.0,0.251,1.66,172.0,66.0
10.1016/j.electacta.2018.05.035,Co31Cr15Fe13Mo32Ni9,band,3D,"FCC,μ ",14.0, arc-melting under an argon atmosphere,1.5249999999999997,1168.0,5.0,0.49875,24.0,53.916,15.69,2896.0,31.345,0.5000000000000002,42.0,6.883129999999999,30.0,42.0,0.475,1.66,253.0,96.0
10.1016/j.electacta.2018.05.035,Co36Cr15Fe20Mo10Ni19,band,3D,FCC,0.0, arc-melting under an argon atmosphere,1.749,1168.0,7.0,0.3759979999999999,24.0,55.823,15.69,2896.0,27.988,0.5000000000000002,42.0,2.722983999999998,30.0,27.0,0.251,1.66,107.0,41.0
10.1016/j.electacta.2018.05.035,Co31Cr15Fe13Mo32Ni9,band,3D,"FCC,μ ",0.0, arc-melting under an argon atmosphere,1.5249999999999997,1168.0,5.0,0.49875,24.0,53.916,15.69,2896.0,31.345,0.5000000000000002,42.0,6.883129999999999,30.0,42.0,0.475,1.66,193.0,89.0
10.1016/j.ijhydene.2024.05.350,Al27Co23Cr12Fe26Ni13,porous ,3D,"BCC, FCC",14.0, microwave sintering ,1.8840932377049184,1246.53,0.0,0.2049447694987065,13.0,60.59656762295081,16.48,2180.0,22.769979508196723,0.2999999999999998,28.0,5.240352738259204,18.0,13.0,0.1159067622950819,1.61,100.0,170.78
10.1016/j.ijhydene.2024.05.350,Al37Co24Cr4Fe19Ni15,porous ,3D,"BCC, FCC",14.0, microwave sintering ,1.9561330905479224,1246.53,0.0,0.0838852074144015,13.0,63.06935937758649,16.48,2180.0,21.60999834464492,0.2999999999999998,28.0,6.41652252070708,18.0,13.0,0.0438669094520774,1.61,115.6,128.12
10.1016/j.ijhydene.2024.05.350,Al95Co1Cr4,porous ,3D,"BCC, FCC",14.0, microwave sintering ,1.955734406438632,1246.53,0.0,0.0846123015760558,13.0,71.81258982466227,16.48,2180.0,13.603621730382294,0.2699999999999998,27.0,1.1437408584880944,18.0,13.0,0.0442655935613682,1.61,57.8,97.89
10.1016/j.jallcom.2024.175356,Co29Cu14Fe29Ni29,nanoporous bulk,3D,FCC,14.0,solution combustion synthesis,1.8571428571428568,453.23,6.0,0.2448979591836734,26.0,58.85714285714285,11.07,1811.0,27.285714285714285,0.0799999999999998,29.0,0.8979591836734693,8.0,26.0,0.1428571428571428,1.83,71.0,74.0
10.1016/j.jallcom.2024.175356,Cu33Fe33Ni33,nanoporous bulk,3D,FCC,14.0,solution combustion synthesis,1.6666666666666667,453.23,6.0,0.4444444444444444,26.0,60.0,11.07,1811.0,27.666666666666668,0.0799999999999998,29.0,1.1111111111111107,8.0,26.0,0.3333333333333333,1.83,131.0,120.0
10.1016/j.jallcom.2024.175356,Co33Fe33Ni33,nanoporous bulk,3D,FCC,14.0,solution combustion synthesis,2.0,83.0,6.0,0.0,26.0,58.0,10.73,1811.0,27.0,0.0799999999999998,28.0,0.6666666666666666,8.0,26.0,0.0,1.83,295.0,125.0
10.1016/j.jallcom.2024.175356,Fe50Ni50,nanoporous bulk,3D,FCC,14.0,solution combustion synthesis,2.0,83.0,6.0,0.0,26.0,58.0,10.73,1811.0,27.0,0.0799999999999998,28.0,1.0,8.0,26.0,0.0,1.83,357.0,181.0
10.1016/j.jallcom.2024.175356,Co50Cu50,nanoporous bulk,3D,FCC,14.0,solution combustion synthesis,1.5,410.23,7.0,0.5,27.0,61.0,11.07,1768.0,28.0,0.02,29.0,1.0,6.0,27.0,0.5,1.88,408.0,179.0
10.1016/j.jcis.2023.05.074,Co20Fe20Mn20Ni20Ru20,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,1.8,1088.0,5.0,0.3199999999999999,25.0,56.4,13.51,2607.0,30.0,0.6500000000000001,44.0,5.6,22.0,25.0,0.2,1.55,50.0,50.0
10.1016/j.jcis.2023.05.074,Co17Cu17Fe17Mn17Ni17Ru17,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,1.6666666666666667,1249.23,5.0,0.4444444444444444,25.0,57.66666666666666,13.51,2607.0,29.83333333333333,0.6500000000000001,44.0,4.722222222222221,22.0,25.0,0.3333333333333333,1.55,89.0,118.0
10.1016/j.jcis.2023.05.074,Co20Fe20Mn20Mo20Ni20,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,1.8,1377.0,5.0,0.3199999999999999,25.0,55.2,15.69,2896.0,29.6,0.6100000000000001,42.0,4.960000000000001,30.0,25.0,0.2,1.55,218.0,175.0
10.1016/j.jcis.2023.05.074,Co25Fe25Mn25Ni25,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,2.0,292.0,5.0,0.0,25.0,56.5,10.73,1811.0,26.5,0.3599999999999999,28.0,1.0,15.0,25.0,0.0,1.55,228.0,158.0
10.1016/j.jallcom.2024.175356,Co33Fe33Ni33,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,2.0,83.0,6.0,0.0,26.0,58.0,10.73,1811.0,27.0,0.0799999999999998,28.0,0.6666666666666666,8.0,26.0,0.0,1.83,273.0,169.0
10.1016/j.jcis.2023.05.074,Co20Cu20Fe20Mn20Ni20,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,1.8,453.23,5.0,0.3199999999999999,25.0,58.0,11.07,1811.0,27.0,0.3599999999999999,29.0,1.2,15.0,25.0,0.2,1.55,290.0,171.0
10.1016/j.jcis.2023.05.074,Co20Cu20Fe20Mn20Ni20,Nanoparticle,0D,FCC,14.0,ultrasonication-assisted wet chemistry method,1.8,453.23,5.0,0.3199999999999999,25.0,58.0,11.07,1811.0,27.0,0.3599999999999999,29.0,1.2,15.0,25.0,0.2,1.55,292.0,171.0
10.1016/j.jmat.2020.06.001,Al55Co9Cr18Fe9Ni9, porous sheet,3D,"FCC,BCC",0.0,mechanical alloying and spark plasma sintering (SPS) consolidation,1.818181818181818,1246.53,0.0,0.2975206611570248,13.0,64.54545454545455,16.48,2180.0,18.818181818181817,0.2999999999999998,28.0,6.347107438016528,18.0,13.0,0.1818181818181818,1.61,125.0,56.0
10.1016/j.jmat.2020.06.001,Al33Co17Cr17Fe17Ni17,sheet,3D,"FCC,BCC",0.0,mechanical alloying and spark plasma sintering (SPS) consolidation,1.8333333333333333,1246.53,0.0,0.2777777777777778,13.0,61.5,16.48,2180.0,21.83333333333333,0.2999999999999998,28.0,5.888888888888889,18.0,13.0,0.1666666666666666,1.61,800.0,254.0
10.1016/j.jmst.2023.05.040,Co18Cr14Cu28Fe22Ni18,foam-like hierarchical structure,3D,"FCC,BCC",14.0,simple electrodeposition process as cathodes under a constant current density,1.5800000000000003,822.23,10.0,0.4871999999999999,24.0,58.3,11.19,2180.0,27.1,0.25,29.0,1.388,15.0,29.0,0.42,1.66,84.0,62.0
10.1016/j.nanoen.2023.108380,Al10Co33Cr11Fe12Ni32W2,porous ,3D,"FCC,BCC",14.0,arc melting,1.89,2761.53,7.0,0.1958,13.0,58.97,16.48,3695.0,26.41,0.7499999999999998,74.0,3.3106,41.0,27.0,0.11,1.61,246.0,89.9
10.1016/S1872-2067(22)64166-4,Ir32Mo8Pd25Rh30W5,nanosheet,2D,"FCC, Amorphous",0.0, low-temperature oil phase approach ,1.12,1866.95,7.0,0.6582399999999999,42.0,58.98400000000001,16.05,3695.0,56.838,0.1999999999999997,77.0,14.763176,23.0,77.0,0.372,2.16,15.0,35.0
10.1016/S1872-2067(24)60067-7,Cu28Pd26Pt18Rh14Ru14,Nanoparticle,0D,FCC,14.0, solvothermal method,0.74,1249.23,10.0,0.3848,29.0,61.48,15.02,2607.0,46.58,0.3799999999999999,78.0,11.3112,14.0,29.0,0.74,1.9,23.3,124.0
10.1021/acs.jpcc.1c03646,Co26Cr24Fe25Ni25,bulk,3D,FCC,0.0,arc-melting,1.763,452.0,7.0,0.3616619999999999,24.0,55.861,11.19,2180.0,26.287,0.25,28.0,1.227538,15.0,27.0,0.237,1.66,485.0,38.0
10.1021/acs.langmuir.2c03367,Ir27Pd18Pt21Rh20Ru15, thin film,2D,FCC,0.0,atomic layer deposition (ALD),1.0891089108910892,910.95,7.0,0.4870110773453583,44.0,60.18811881188119,15.02,2739.0,60.445544554455445,0.0799999999999996,78.0,16.150769532398783,10.0,77.0,0.5544554455445545,2.2,58.0,42.0
10.1021/acsaem.3c03227,Co25Cu25Fe25Ni25,flakes,3D,FCC,14.0, mechanical alloying ,1.75,453.23,6.0,0.375,26.0,59.5,11.07,1811.0,27.5,0.0799999999999998,29.0,1.0,8.0,26.0,0.25,1.83,605.0,173.0
10.1016/j.jcis.2023.05.074,Co20Cu20Fe20Mn20Ni20,flakes,3D,FCC,14.0, mechanical alloying ,1.8,453.23,5.0,0.3199999999999999,25.0,58.0,11.07,1811.0,27.0,0.3599999999999999,29.0,1.2,15.0,25.0,0.2,1.55,445.0,140.0
10.1021/acsaem.3c03227,Co20Cu20Fe20Mo20Ni20,flakes,3D,"FCC,BCC",14.0, mechanical alloying ,1.6,1538.23,5.0,0.48,26.0,57.6,15.69,2896.0,30.4,0.33,42.0,4.639999999999999,30.0,26.0,0.4,1.83,286.0,125.0
10.1021/acsaem.3c03227,Co18Cu18Fe18Mn18Mo9Ni18,flakes,3D,"FCC,BCC",14.0, mechanical alloying ,1.7272727272727273,1538.23,5.0,0.396694214876033,25.0,57.27272727272727,15.69,2896.0,28.363636363636363,0.6100000000000001,42.0,2.7107438016528924,30.0,25.0,0.2727272727272727,1.55,275.0,136.0
10.1021/acsaem.3c03227,Co17Cu17Fe17Mn17Mo17Ni17,flakes,3D,"FCC,BCC",14.0, mechanical alloying ,1.6666666666666667,1538.23,5.0,0.4444444444444444,25.0,56.66666666666666,15.69,2896.0,29.5,0.6100000000000001,42.0,4.166666666666667,30.0,25.0,0.3333333333333333,1.55,315.0,139.0
